,geometry
170,POINT (30.3503913967655 59.9208871)
172,POINT (30.3526658 59.9318548)
174,POINT (30.3515605 59.9308701)
175,POINT (30.3182565113028 60.0175154)
176,POINT (30.3682268676242 59.9396697)
177,POINT (30.1928276 59.8306193)
178,POINT (30.278625 59.8985115)
179,POINT (30.2722078199816 59.8878914)
180,POINT (30.2254922073785 59.84571065)
181,POINT (30.24821660000001 59.85227389999999)
182,POINT (30.2623235559719 59.89279355)
183,POINT (30.4126365120013 59.71263595)
184,POINT (30.2769291145995 59.84486835)
185,POINT (30.26326139402569 59.8356584)
187,POINT (30.4725351 59.8529393)
188,POINT (30.30846762491711 59.85693025)
189,POINT (30.3284153993642 59.85070515)
